Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BSE,EQ,31-Mar-20,290.45,297,301.55,293.25,296.15,296.8,296.75,237755,70553141.5,6559
BSE,EQ,01-Apr-20,296.8,296.4,299.85,292.1,295.95,295.9,295.98,124539,36860880.35,5426
BSE,EQ,03-Apr-20,295.9,298,299,288.9,298.35,297,294.21,97165,28587142.75,4402
BSE,EQ,07-Apr-20,297,307,312.95,302.3,304.9,306,305.49,272019,83100213.5,10497
BSE,EQ,08-Apr-20,306,306,321.3,302.7,316,315.65,314.07,274750,86290470.2,12383
BSE,EQ,09-Apr-20,315.65,323.85,333.7,317,330,330.3,325.85,351179,114432008.5,14130
BSE,EQ,13-Apr-20,330.3,339,339,320.2,329,330.6,330.52,222871,73662243.2,8516
BSE,EQ,15-Apr-20,330.6,334.5,345,331.05,338.05,336.55,338.7,269820,91388416.3,11544
BSE,EQ,16-Apr-20,336.55,337,369,335.25,367,362,352.28,270177,95177701.3,11000
BSE,EQ,17-Apr-20,362,375,389,365,383.95,386.15,378.13,358337,135497026.5,14619
BSE,EQ,20-Apr-20,386.15,386.15,392.35,375,377.35,377.85,379.57,188554,71569420.55,8102
BSE,EQ,21-Apr-20,377.85,370,370,358.25,363.05,365.05,363.57,126899,46137018.4,5243
BSE,EQ,22-Apr-20,365.05,360,368.75,355,364.1,365.2,362,99230,35921080.45,4791
BSE,EQ,23-Apr-20,365.2,367.2,375.7,365.55,369,369.65,371.72,104412,38812522.3,4838
BSE,EQ,24-Apr-20,369.65,366,366.65,358.25,359.15,359.05,360.3,125140,45087941.9,3601
BSE,EQ,27-Apr-20,359.05,364.7,368.2,361.35,364.5,364.8,364.82,74821,27295887.15,2663
BSE,EQ,28-Apr-20,364.8,367.1,376.9,360.5,371.05,370.2,368.21,235437,86691134.85,8340
BSE,EQ,29-Apr-20,370.2,373,382.35,371,375.6,377.55,378.85,152834,57901784.45,4851
BSE,EQ,30-Apr-20,377.55,382.75,408,381.65,390.55,390.75,397.54,719586,286061566.4,24636
BSE,EQ,04-May-20,390.75,385,386,373,379,378.6,379.17,153363,58150306.85,6757
BSE,EQ,05-May-20,378.6,384,390,375,378.5,376.4,382.85,196038,75052779.25,5753
BSE,EQ,06-May-20,376.4,378,384,371.6,381.5,381.15,379.62,95272,36167477.95,4257
BSE,EQ,07-May-20,381.15,380,387.75,378.7,386,386.05,384.26,96287,36999403.95,3570
BSE,EQ,08-May-20,386.05,387.95,394,381.1,383.5,383.8,386.35,91195,35233027.7,2995
BSE,EQ,11-May-20,383.8,389.7,394,385,389.45,388.45,389.33,138289,53840719.1,8838
BSE,EQ,12-May-20,388.45,385,387,376.85,380,380.95,381.24,103420,39427584.55,5335
BSE,EQ,13-May-20,380.95,396,419,383.2,411.8,412,400.01,374713,149890398.7,10178
BSE,EQ,14-May-20,412,400.75,425.15,398.2,415,416.9,412.22,315547,130075329.8,9639
BSE,EQ,15-May-20,416.9,416.9,439.85,411,427.9,427.15,429.66,463600,199191980.8,22201
BSE,EQ,18-May-20,427.15,425.1,438.4,410.1,429.2,430,424.54,335640,142491388.7,10073
BSE,EQ,19-May-20,430,430,462.9,430,452.4,448.8,448.84,601057,269780581.9,17360
BSE,EQ,20-May-20,448.8,451.5,459.9,443.25,448.4,446.9,449.76,189608,85277695.3,7380
BSE,EQ,21-May-20,446.9,440.5,452,429,434.45,433.25,442.78,142032,62888689.3,5335
BSE,EQ,22-May-20,433.25,415,420,393.5,394.5,396.6,402.16,544827,219106936.7,17714
BSE,EQ,26-May-20,396.6,394.95,398.5,385.05,386.3,387.5,391.76,178954,70107540,6894
BSE,EQ,27-May-20,387.5,385,395.5,380,393,390,387,181468,70227291.75,6624
BSE,EQ,28-May-20,390,391.3,402,391.3,395.6,395.75,397.7,138208,54964792.5,5533
BSE,EQ,29-May-20,395.75,392.1,404.95,373.1,375.05,377.9,384.13,333076,127945272.8,12032
BSE,EQ,01-Jun-20,377.9,382,390.4,380.2,386,385.85,386.64,210121,81240667,7072
BSE,EQ,02-Jun-20,385.85,388,395,386,391.55,390.75,391.22,140386,54921920.45,4187
BSE,EQ,03-Jun-20,390.75,396.55,401.7,390.75,393,393.1,397.14,172617,68552280.4,5449
BSE,EQ,04-Jun-20,393.1,394.45,396.45,385.15,390.15,390.8,389.8,118043,46013536.9,4706
BSE,EQ,05-Jun-20,390.8,391.15,413.5,391.15,406,408.55,402.51,229307,92297415.15,6178
BSE,EQ,08-Jun-20,408.55,409.2,416.6,394.2,397.75,397.9,406.81,203523,82794765.15,8006
BSE,EQ,09-Jun-20,397.9,398,410,392.4,397,396.15,398.84,123798,49375927.7,5808
BSE,EQ,10-Jun-20,396.15,397.1,402,393,398.75,397.8,396.95,70796,28102372.1,2584
BSE,EQ,11-Jun-20,397.8,391.3,398.95,391.3,393.1,394.05,394.87,72375,28578477.7,2513
BSE,EQ,12-Jun-20,394.05,385,394,381.55,392.15,390.15,387.27,107215,41521595.25,3705
BSE,EQ,15-Jun-20,390.15,390.15,396,387,388.8,387.95,390.09,75061,29280812.6,4050
BSE,EQ,16-Jun-20,387.95,395,398.05,384,389,390.7,390.08,91824,35818637.55,4238
BSE,EQ,17-Jun-20,390.7,387.2,394,385.25,386.5,387.25,388.25,83206,32304781.1,3856
BSE,EQ,18-Jun-20,387.25,388,410,386.9,408,405.65,399.51,199769,79809834.95,5064
BSE,EQ,19-Jun-20,405.65,409,422.5,407,414,412.9,415.59,286298,118983037.5,7265
BSE,EQ,22-Jun-20,412.9,417,424,414,424,420.75,418.66,157688,66017082.8,4563
BSE,EQ,23-Jun-20,420.75,504.8,504.8,456,461.8,460.4,468.23,1784676,835640776.9,44789
BSE,EQ,24-Jun-20,460.4,463.9,468.6,450.05,453.45,453.3,458.14,409153,187448325.3,10982
BSE,EQ,25-Jun-20,453.3,441,462.9,441,459.7,459.85,456.14,244551,111549088.6,7643
BSE,EQ,26-Jun-20,459.85,462,464.05,450.5,454.25,453.2,457.25,157817,72161215.3,5582
BSE,EQ,29-Jun-20,453.2,453.2,462.2,436.5,456.5,453,446.23,206192,92008470.45,6581
BSE,EQ,30-Jun-20,453,459.9,460,442.05,444.3,443.75,450.97,187851,84715073.65,7613
BSE,EQ,01-Jul-20,443.75,440.5,478,440.5,470,471.85,464.82,532852,247682550,14869
BSE,EQ,02-Jul-20,471.85,476,478.85,465.35,473,473.55,472.64,272541,128814360.2,8646
BSE,EQ,03-Jul-20,473.55,473,480,466.3,469.25,469.85,472.82,173539,82052504.95,5179
BSE,EQ,06-Jul-20,469.85,475,488.45,472.1,480.05,481.4,479.52,294248,141096876.9,6828
BSE,EQ,07-Jul-20,481.4,482,504,476.5,501,500.4,494.53,882712,436528284.3,25207
BSE,EQ,08-Jul-20,500.4,505,509.95,497.4,497.4,499.9,501.96,414748,208186067.1,10861
BSE,EQ,09-Jul-20,499.9,500,529.95,496,520,523.6,517.53,812615,420548944.7,20685
BSE,EQ,10-Jul-20,523.6,520,520,501,502.9,502.9,508.65,313252,159335674.9,16335
BSE,EQ,13-Jul-20,502.9,505.2,514.4,503,505,504.75,508.71,207335,105473294.3,6076
BSE,EQ,14-Jul-20,504.75,500.1,504,487,492.8,491.7,494.43,198237,98015184.75,6172
BSE,EQ,15-Jul-20,491.7,495,510.75,495,500,499.45,502.54,197209,99105370.7,5908
BSE,EQ,16-Jul-20,499.45,503.25,503.25,492,492.3,492.9,496.56,152669,75810009.35,5173
BSE,EQ,17-Jul-20,492.9,493.6,509.7,493.6,507.05,506.75,504.27,164535,82970144.8,4702
BSE,EQ,20-Jul-20,506.75,510,523,508.25,520.3,519.65,517.51,387542,200555921.7,9879
BSE,EQ,21-Jul-20,519.65,520.1,531.7,513,518.55,519,521.87,308848,161178018.7,8012
BSE,EQ,22-Jul-20,519,496.3,521.9,496.3,505.9,506.8,506.5,223041,112970061.5,7063
BSE,EQ,23-Jul-20,506.8,505,508.45,501,503,503.45,504.42,122958,62022791.75,3383
BSE,EQ,24-Jul-20,503.45,506.1,509,488,493.9,493.3,496.82,222953,110767451,6570
BSE,EQ,27-Jul-20,493.3,495,558.7,482,507.75,512,529.51,2437735,1290810128,64310
BSE,EQ,28-Jul-20,512,511.9,519.4,496,507.2,506.85,510.65,624420,318857970.7,22815
BSE,EQ,29-Jul-20,506.85,506.05,516.4,504,507.7,508.25,510.53,259747,132609296.4,7142
BSE,EQ,30-Jul-20,508.25,508.5,514,501,504.45,503.2,508.49,265266,134886220.6,6322
BSE,EQ,31-Jul-20,503.2,505,522,499,515.15,514.95,512.39,417081,213709731.2,11088
BSE,EQ,03-Aug-20,514.95,517.95,521.95,507.75,512,511.4,515.69,303263,156389202.4,8804
BSE,EQ,04-Aug-20,511.4,514,515.1,492.65,502.45,502.2,500.99,369287,185008769.8,9901
BSE,EQ,05-Aug-20,502.2,502.2,508.95,497,497.95,498.85,502.26,193623,97249351.75,5854
BSE,EQ,06-Aug-20,498.85,500.1,504,495,497.65,497.25,498.93,171887,85759613.65,4676
BSE,EQ,07-Aug-20,497.25,500,501,492,493,493.35,494.51,193921,95895719.45,6822
BSE,EQ,10-Aug-20,493.35,493.5,503,493.5,496,496.85,497.37,172015,85554956.75,4883
BSE,EQ,11-Aug-20,496.85,500.7,510.8,497,503.7,504,503.79,307396,154864528.1,7040
BSE,EQ,12-Aug-20,504,503.7,507.45,498.1,501,501.7,502.07,95014,47703760.95,5080
BSE,EQ,13-Aug-20,501.7,504,505.7,493,494.2,495,497.46,195706,97356741.2,7543
BSE,EQ,14-Aug-20,495,496,498.9,488.15,489,489.85,493.95,168763,83360833.55,7966
BSE,EQ,17-Aug-20,489.85,493,493.95,481.55,486.6,488.05,486.37,180958,88012882.8,8611
BSE,EQ,18-Aug-20,488.05,486,493.3,486,488,488.7,490.19,103100,50538739.35,5891
BSE,EQ,19-Aug-20,488.7,490.05,492.5,488.45,489.5,489.8,489.98,102359,50153435.5,3192
BSE,EQ,20-Aug-20,489.8,487,495.35,484,489.75,489.95,491.04,118054,57969254.95,5344
BSE,EQ,21-Aug-20,489.95,492.1,494.7,490,490,490.5,492.4,139857,68866184.5,5820
BSE,EQ,24-Aug-20,490.5,494.65,500.95,490.1,491.95,491.65,494.52,248711,122992056.4,9844
BSE,EQ,25-Aug-20,491.65,496.95,497.8,491.5,495,493.3,494.52,145688,72044944.1,3831
BSE,EQ,26-Aug-20,493.3,493.3,495.7,485.65,491.6,490.85,490.13,194912,95532010,6891
BSE,EQ,27-Aug-20,490.85,487.15,519.9,487.15,515.05,514.65,512.82,997562,511566467.3,25618
BSE,EQ,28-Aug-20,514.65,515,525.7,511,518.5,520.65,520.03,572791,297866881.8,14894
BSE,EQ,31-Aug-20,520.65,525,528.7,491.65,497.5,498.25,507.91,456551,231885198.7,14749
BSE,EQ,01-Sep-20,498.25,499.1,507,491.8,503.35,504.1,498.58,120771,60214484.65,6167
BSE,EQ,02-Sep-20,504.1,507.4,548,502.35,542,541.05,534.85,2398454,1282805535,60708
BSE,EQ,03-Sep-20,541.05,550,563.95,542,543.95,545.8,552.56,1432960,791798782.3,36378
BSE,EQ,04-Sep-20,545.8,530,545,522.2,524.55,524.5,533.45,581190,310033296.7,17145
BSE,EQ,07-Sep-20,524.5,525,540,510.8,535,534.3,524.15,465855,244179830.8,17850
BSE,EQ,08-Sep-20,534.3,536.25,539.25,510.1,511.8,514.15,525.91,248745,130816321.2,8487
BSE,EQ,09-Sep-20,514.15,524,544.95,522,531.5,530.25,532.96,1041048,554835140.6,27143
BSE,EQ,10-Sep-20,530.25,537.4,544.1,530,531,534.1,537.88,479455,257891620.8,14436
BSE,EQ,11-Sep-20,534.1,537,538.8,525.25,529.7,529.85,532.02,162508,86457938.7,6344
BSE,BL,14-Sep-20,806,549,549,549,549,549,549,1200000,658800000,1
BSE,EQ,14-Sep-20,529.85,531,558.4,531,552.5,553.85,549.57,970720,533482097.8,24681
BSE,EQ,15-Sep-20,553.85,564,598,551,587.7,585.6,574.49,3359783,1930158370,53057
BSE,EQ,16-Sep-20,585.6,597.4,608,583.7,592,591.7,594.88,1423967,847082930.4,34293
BSE,EQ,17-Sep-20,591.7,586.5,591,574.5,576,577.6,580.09,407471,236371770.2,13970
BSE,EQ,18-Sep-20,577.6,580,584.4,565.25,566.1,567.9,574.54,314990,180975345.3,9637
BSE,EQ,21-Sep-20,567.9,569,576.95,533,534.6,536.7,551.31,326857,180199725.3,12051
BSE,EQ,22-Sep-20,536.7,536,549.6,510.05,546.05,542.25,532.6,543123,289268161.4,17392
BSE,EQ,23-Sep-20,542.25,549,554,526.1,538.4,538.4,539.6,495535,267391158.6,15379
BSE,EQ,24-Sep-20,538.4,531.35,537.8,518,521.9,520.7,526.09,327300,172189421.2,11685
BSE,EQ,25-Sep-20,520.7,529.6,541.3,521.65,538.5,537.9,532.83,245757,130946978.7,9528
BSE,EQ,28-Sep-20,537.9,542,558,537.95,548.9,549.2,549.45,500796,275164094.7,14672
BSE,EQ,29-Sep-20,549.2,553,554,536.25,540.55,541.85,544.5,263064,143237317.3,8515
BSE,EQ,30-Sep-20,541.85,544.9,556,540.25,543.5,545.75,548.01,264764,145094635.2,7254
BSE,EQ,01-Oct-20,545.75,549.9,553.25,540,541.25,542.2,547.74,181571,99453956.6,7455
BSE,EQ,05-Oct-20,542.2,544.45,548,533.3,543,542.1,540.64,140361,75884925.6,5719
BSE,EQ,06-Oct-20,542.1,541,555.95,540.9,549.4,550.55,549.42,231735,127320713.9,8361
BSE,EQ,07-Oct-20,550.55,550,551.9,538,539,539.35,544.21,131081,71334947.45,5013
BSE,EQ,08-Oct-20,539.35,543.25,546.95,521,523,523.1,529.95,225604,119558719,8436
BSE,EQ,09-Oct-20,523.1,522.1,531.1,520.1,523,527.1,527.84,142188,75052746,5620
BSE,EQ,12-Oct-20,527.1,527.1,532.5,516.45,527,527.35,524.01,164170,86027176.55,8781
BSE,EQ,13-Oct-20,527.35,525.1,528.3,520.05,522.5,522.9,522.59,105942,55364175.45,7141
BSE,EQ,14-Oct-20,522.9,522.9,529.6,517.95,519.5,524.4,525.2,177677,93315965.45,7012
BSE,EQ,15-Oct-20,524.4,524.2,528,518.85,521.55,521.2,522.16,165784,86566018.75,5441
BSE,EQ,16-Oct-20,521.2,522,527.9,520,524.95,524.95,524.19,211730,110987625.6,7489
BSE,EQ,19-Oct-20,524.95,530,532.5,508,516.4,518.2,519.18,260037,135006125.9,9663
BSE,EQ,20-Oct-20,518.2,519,522.55,513.55,514,516.95,518.26,89701,46488884.3,3448
BSE,EQ,21-Oct-20,516.95,518,524.4,508.75,510.95,511.2,518.01,269938,139829955,8037
BSE,EQ,22-Oct-20,511.2,510,520.15,510,514.9,515.8,515.56,103325,53270093.7,3956
BSE,EQ,23-Oct-20,515.8,518,525.15,516,524.8,523.9,522.31,213353,111436245.1,7670
BSE,EQ,26-Oct-20,523.9,526,528.6,509.5,511.55,511,515.73,172011,88710709.4,9565
BSE,EQ,27-Oct-20,511,512,514.95,505,506.55,507.35,507.91,174062,88407692.25,6979
BSE,EQ,28-Oct-20,507.35,511,511,504.2,508,506.8,507.43,114624,58163404.8,4838
BSE,EQ,29-Oct-20,506.8,505,507.25,497.55,498,501.4,501.97,141623,71090560.15,5351
BSE,EQ,30-Oct-20,501.4,503,508.35,491,493.15,493.35,499.02,209804,104696395.7,7033
BSE,EQ,02-Nov-20,493.35,495,500,475,479,481.25,485.5,289820,140708741.7,11294
BSE,EQ,03-Nov-20,481.25,485,497.7,473.05,478.5,478.2,488.33,338933,165510950.4,10749
BSE,EQ,04-Nov-20,478.2,478,492,466,470.25,472.7,474.55,584792,277511254.9,12703
BSE,EQ,05-Nov-20,472.7,478,496,475.25,494,492.5,487.48,320673,156321578.4,10614
BSE,EQ,06-Nov-20,492.5,495,505,493.05,500,501.55,499,156345,78016733.1,5203
BSE,EQ,09-Nov-20,501.55,505.9,505.9,497,498.35,499.05,500.03,121256,60631586.35,4678
BSE,EQ,10-Nov-20,499.05,505,505,491.65,495.5,497.2,496.8,143798,71439544.8,7996
BSE,EQ,11-Nov-20,497.2,497.2,500,489,492,493.05,493.84,127003,62718998.6,7191
BSE,EQ,12-Nov-20,493.05,494.5,501.95,490.6,495.9,496.15,495.71,135274,67056316.4,5306
BSE,EQ,13-Nov-20,496.15,497.2,509.8,493.65,505.6,507.1,501.17,220562,110538753.1,7147
BSE,EQ,14-Nov-20,507.1,510,546,505.3,523,523.65,527.14,455660,240197481.5,14203
BSE,EQ,17-Nov-20,523.65,528,537.5,515,531,532.7,529.58,453828,240336836.3,12267
BSE,EQ,18-Nov-20,532.7,534,534,520.6,522,522.15,524.77,128445,67403752.75,4989
BSE,EQ,19-Nov-20,522.15,522.8,542,520.15,521.5,522.05,530.78,453378,240644141.9,12076
BSE,EQ,20-Nov-20,522.05,520,560,520,558.45,554.8,545.42,1519075,828535813.1,31265
BSE,EQ,23-Nov-20,554.8,565,588,565,567.9,571.9,577.36,1249928,721655890.1,44115
BSE,EQ,24-Nov-20,571.9,574,574,556,559.5,559.6,562.57,323532,182009708.2,11369
BSE,EQ,25-Nov-20,559.6,565,569.6,551.1,555,554.35,558.8,254657,142302683.2,9638
BSE,EQ,26-Nov-20,554.35,550,558,549.15,551.55,550.65,552.04,149566,82565833.45,5267
BSE,EQ,27-Nov-20,550.65,555,564.95,550.5,552.55,553.4,556.39,217023,120748582.1,7364
BSE,EQ,01-Dec-20,553.4,554,562,544.55,549,548.45,550.92,254148,140014192.1,9580
BSE,EQ,02-Dec-20,548.45,550,557.25,547.1,549.45,549.9,551.85,135670,74869298.15,4861
